id,average,std_dev,len
1,311.1891243,194.5085449,2109
2,291.6486055,192.6199646,2020
3,350.2842401,359.7019653,2064
4,243.9729042,61.46999741,212
5,458.3398604,778.4070435,1141
6,311.5094473,510.839386,1159
7,225.2056416,210.2862244,1004
8,373.1748202,199.4073944,1549
9,817.7341969,910.7792358,1130
10,1796.164456,11431.95605,699
11,2170.087862,12845.92773,984
12,478.1509781,1003.156738,1292
13,1607.292017,10546.64746,970
14,601.5398081,1494.150513,1133
15,618.1062393,1458.482056,1156
16,285.6260384,663.5657959,1251
17,980.1169211,1465.870972,164
18,482.5677135,3042.165527,1084
19,684.2278458,4939.526367,985
20,349.2971448,1184.201782,196
21,240.8096356,1083.196167,1070
22,1983.395852,1403.226563,1444
23,430.2129651,870.5858154,1330
24,542.8443762,3361.140381,874
25,360.4321304,917.2471924,1391
26,537.3786228,1103.288452,1144
27,576.5210066,752.2520142,1140
28,416.0073506,880.7252197,1134
29,468.5730048,1159.928589,1267
30,360.0444926,988.782959,1359
31,727.2957732,1400.242798,1038
32,705.8502895,1159.954712,1086
33,277.6306997,289.4597778,1392
34,400.8888989,558.0029907,1098
35,639.1898433,1179.437866,1125
36,578.1655533,1453.437866,1237
37,474.6959519,747.4537354,1027
38,738.9915624,4881.278809,1014
39,8000.843154,17024.82617,1053
40,447.6994748,1112.133423,980
41,927.8479142,5938.199219,1303
42,508.534326,198.4228058,1462
43,342.1908524,226.2832489,1193
44,1168.388041,970.5981445,1206
45,396.1701272,921.4318848,989
46,256.0235725,209.4408722,1528
47,397.8533802,961.729248,1025
48,539.0222098,1584.970825,1225
49,545.4962334,1222.511597,187
50,424.8931485,902.2102661,332
51,482.1728458,1191.84729,180
52,586.3777472,1361.095337,1358
53,549.1578046,1347.985474,1015
54,2794.001755,14293.62012,877
55,620.4819231,1456.882568,1144
56,974.8125812,5254.925293,580
57,572.5661566,1682.942017,1295
58,1043.612491,6822.958496,809
59,584.4019851,1050.594727,1274
60,400.8442179,666.1069336,971
61,1572.819975,9114.572266,774
62,1019.811133,2658.629639,1183
63,560.2190911,789.2994385,1042
64,377.6194069,445.8045654,1370
65,1301.962829,1442.72229,1074
66,537.2324076,1148.57666,1215
67,512.6777023,934.5822144,286
68,509.3067176,1800.761353,347
69,681.9243585,1313.920654,1043
70,366.6637076,169.7981873,1438
71,361.2729077,73.29959106,1563
72,493.899482,996.7406006,304
73,397.5408447,1095.469727,209
74,647.8478459,1184.281494,194
75,1122.456035,1416.581177,220
76,1831.270396,11135.92285,952
77,412.3813304,2899.825439,1102
78,541.2163575,3192.874512,808
79,309.4630116,205.8578644,1593
80,379.599353,360.6027222,1824
81,464.9146128,632.1992798,1675
82,503.9677676,518.2042847,1687
83,579.5585082,746.4678955,1312
84,200.8594034,350.9434509,1520
85,1903.087095,11079.08398,994
86,509.2916684,1414.707397,947
87,393.3466091,863.684021,343
